ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,c_high,c_high_lower,c_high_upper,c_low,c_low_lower,c_low_upper,c_open,c_open_lower,c_open_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-10-19,102.68113850443993,137.95755644115602,139.43553498226046,102.67746006686077,102.68525532920393,35.98727574824185,35.98727574824185,35.98727574824185,12.84800712625574,12.84800712625574,12.84800712625574,27.487503297598312,27.487503297598312,27.487503297598312,-4.171299387419904,-4.171299387419904,-4.171299387419904,36.164211036434146,36.164211036434146,36.164211036434146,-0.2308607715813841,-0.2308607715813841,-0.2308607715813841,0.05392548338909635,0.05392548338909635,0.05392548338909635,0.0,0.0,0.0,138.66841425268177
2021-10-20,102.68054859267608,118.43671534693411,119.86374530772521,102.67642074507448,102.6851595599092,16.50989213673615,16.50989213673615,16.50989213673615,-7.097339085754977,-7.097339085754977,-7.097339085754977,17.623164415253004,17.623164415253004,17.623164415253004,6.165323944389545,6.165323944389545,6.165323944389545,16.69114927388757,16.69114927388757,16.69114927388757,-0.236804148336078,-0.236804148336078,-0.236804148336078,0.055547011184653515,0.055547011184653515,0.055547011184653515,0.0,0.0,0.0,119.19044072941222
2021-10-21,102.67995868091222,82.86533824630129,84.29884048285281,102.67499872586014,102.68499820277702,-19.097151167751747,-19.097151167751747,-19.097151167751747,-23.384586865868634,-23.384586865868634,-23.384586865868634,-14.942666689476537,-14.942666689476537,-14.942666689476537,19.419031161249638,19.419031161249638,19.419031161249638,-18.90822239409553,-18.90822239409553,-18.90822239409553,-0.24581403177171715,-0.24581403177171715,-0.24581403177171715,0.05688525811550005,0.05688525811550005,0.05688525811550005,0.0,0.0,0.0,83.58280751316047
2021-10-22,102.67936876914837,68.11103216063279,69.54414615694458,102.67391135781489,102.68498869189129,-33.84847985726244,-33.84847985726244,-33.84847985726244,-6.8360463406194345,-6.8360463406194345,-6.8360463406194345,-29.131099328466686,-29.131099328466686,-29.131099328466686,2.2970170533442187,2.2970170533442187,2.2970170533442187,-33.6701286157419,-33.6701286157419,-33.6701286157419,-0.23623085014316883,-0.23623085014316883,-0.23623085014316883,0.057879608622623875,0.057879608622623875,0.057879608622623875,0.0,0.0,0.0,68.83088891188592
2021-10-23,102.67877885738451,120.84698702576765,122.31780813173312,102.67260083249924,102.68515053535216,18.891757740685108,18.891757740685108,18.891757740685108,5.618907844173222,5.618907844173222,5.618907844173222,12.35317514934244,12.35317514934244,12.35317514934244,1.282379180283079,1.282379180283079,1.282379180283079,19.254462173798743,19.254462173798743,19.254462173798743,-0.4211817960307117,-0.4211817960307117,-0.4211817960307117,0.058477362917077856,0.058477362917077856,0.058477362917077856,0.0,0.0,0.0,121.57053659806962
2021-10-24,102.67818894562066,141.92688674691271,143.38577199328577,102.67143097299115,102.68519018898958,39.98281921680189,39.98281921680189,39.98281921680189,41.416013927738476,41.416013927738476,41.416013927738476,28.973910526445124,28.973910526445124,28.973910526445124,-32.07384089659896,-32.07384089659896,-32.07384089659896,38.31608355758465,38.31608355758465,38.31608355758465,1.6081000561644043,1.6081000561644043,1.6081000561644043,0.058635603052857935,0.058635603052857935,0.058635603052857935,0.0,0.0,0.0,142.66100816242255
2021-10-25,102.67759903385681,167.3796219631556,168.85393296447407,102.67031348686413,102.6852910504159,65.4704845563106,65.4704845563106,65.4704845563106,32.444963011419304,32.444963011419304,32.444963011419304,60.45871819201335,60.45871819201335,60.45871819201335,-27.254310999559102,-27.254310999559102,-27.254310999559102,65.64937020387357,65.64937020387357,65.64937020387357,-0.2372084582955076,-0.2372084582955076,-0.2372084582955076,0.05832281073256036,0.05832281073256036,0.05832281073256036,0.0,0.0,0.0,168.1480835901674
2021-10-26,102.67700912209295,204.34755251950745,205.78740731386839,102.66917260225821,102.68528459707184,102.369027840817,102.369027840817,102.369027840817,60.14199399578363,60.14199399578363,60.14199399578363,92.48403757716267,92.48403757716267,92.48403757716267,-50.08366314343275,-50.08366314343275,-50.08366314343275,102.54236842951353,102.54236842951353,102.54236842951353,-0.2308607715856206,-0.2308607715856206,-0.2308607715856206,0.057520182889085,0.057520182889085,0.057520182889085,0.0,0.0,0.0,205.04603696290997
2021-10-27,102.6764192103291,191.78167192400306,193.29897794878585,102.66774375264443,102.68550013723704,89.85784628465291,89.85784628465291,89.85784628465291,54.74194392964973,54.74194392964973,54.74194392964973,57.350775804425425,57.350775804425425,57.350775804425425,-22.054291900121218,-22.054291900121218,-22.054291900121218,90.03842783395393,90.03842783395393,90.03842783395393,-0.23680414833884125,-0.23680414833884125,-0.23680414833884125,0.05622259903782834,0.05622259903782834,0.05622259903782834,0.0,0.0,0.0,192.534265494982
2021-10-28,102.67582929856523,206.90727280150998,208.27702459239475,102.66623566347694,102.68565233402552,104.90369187484521,104.90369187484521,104.90369187484521,79.21636439067609,79.21636439067609,79.21636439067609,88.83558346999408,88.83558346999408,88.83558346999408,-62.95688115789483,-62.95688115789483,-62.95688115789483,105.09506670277536,105.09506670277536,105.09506670277536,-0.245814031773036,-0.245814031773036,-0.245814031773036,0.05443920384289023,0.05443920384289023,0.05443920384289023,0.0,0.0,0.0,207.57952117341046
