ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,c_high,c_high_lower,c_high_upper,c_low,c_low_lower,c_low_upper,c_open,c_open_lower,c_open_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-10-20,244.11290467620887,355.65212720760536,359.9564134206231,244.11006976034105,244.11753569799734,113.67220107637442,113.67220107637442,113.67220107637442,134.13336201488303,134.13336201488303,134.13336201488303,109.60495500201614,109.60495500201614,109.60495500201614,-119.15059840276245,-119.15059840276245,-119.15059840276245,124.58771861413675,124.58771861413675,124.58771861413675,-11.069631205072287,-11.069631205072287,-11.069631205072287,0.15411366730999498,0.15411366730999498,0.15411366730999498,0.0,0.0,0.0,357.78510575258326
2021-10-21,244.09935062821535,313.494832061004,317.9638922322063,244.09615246718093,244.10471411288344,71.62663228458739,71.62663228458739,71.62663228458739,100.06629413072348,100.06629413072348,100.06629413072348,52.606659071544414,52.606659071544414,52.606659071544414,-70.20031417219619,-70.20031417219619,-70.20031417219619,82.4726390300717,82.4726390300717,82.4726390300717,-11.013410778914022,-11.013410778914022,-11.013410778914022,0.167404033429722,0.167404033429722,0.167404033429722,0.0,0.0,0.0,315.72598291280275
2021-10-22,244.08579658022185,457.99127346012347,462.34457863340333,244.08213097614262,244.09212006031942,216.0593650140586,216.0593650140586,216.0593650140586,177.87706785835636,177.87706785835636,177.87706785835636,156.96717538443323,156.96717538443323,156.96717538443323,-107.8796926219428,-107.8796926219428,-107.8796926219428,226.96455062084678,226.96455062084678,226.96455062084678,-11.082898450878739,-11.082898450878739,-11.082898450878739,0.17771284409052707,0.17771284409052707,0.17771284409052707,0.0,0.0,0.0,460.14516159428047
2021-10-23,244.07224253222827,482.53761904085155,486.86194927054004,244.0680833455917,244.0794887886694,240.58109969215553,240.58109969215553,240.58109969215553,164.88651278968817,164.88651278968817,164.88651278968817,120.87734526577725,120.87734526577725,120.87734526577725,-72.99747327108577,-72.99747327108577,-72.99747327108577,212.76638478437968,212.76638478437968,212.76638478437968,27.62971050485915,27.62971050485915,27.62971050485915,0.18500440291664028,0.18500440291664028,0.18500440291664028,0.0,0.0,0.0,484.6533422243838
2021-10-24,244.05868848423478,317.74854430642245,321.9960526209692,244.05323985445813,244.06698052304966,75.85820893243775,75.85820893243775,75.85820893243775,53.80401128414053,53.80401128414053,53.80401128414053,72.33334203312734,72.33334203312734,72.33334203312734,-78.0981751572962,-78.0981751572962,-78.0981751572962,48.03917815997166,48.03917815997166,48.03917815997166,27.629710505400876,27.629710505400876,27.629710505400876,0.18932026706521343,0.18932026706521343,0.18932026706521343,0.0,0.0,0.0,319.91689741667255
2021-10-25,244.04513443624126,322.1073549423415,326.54433925585414,244.03857095405465,244.05419251893412,80.37867718139115,80.37867718139115,80.37867718139115,50.75520754353469,50.75520754353469,50.75520754353469,82.151230327371,82.151230327371,82.151230327371,-41.652837486471036,-41.652837486471036,-41.652837486471036,91.25360038443465,91.25360038443465,91.25360038443465,-11.065698717281618,-11.065698717281618,-11.065698717281618,0.19077551423812786,0.19077551423812786,0.19077551423812786,0.0,0.0,0.0,324.4238116176324
2021-10-26,244.0315803882477,352.7793835984939,357.0460844207927,244.02417258019102,244.04232601146032,110.73426462841397,110.73426462841397,110.73426462841397,82.30369842458556,82.30369842458556,82.30369842458556,30.243691290211636,30.243691290211636,30.243691290211636,9.025103834585387,9.025103834585387,9.025103834585387,121.57249354938259,121.57249354938259,121.57249354938259,-11.02778185807469,-11.02778185807469,-11.02778185807469,0.189552937106062,0.189552937106062,0.189552937106062,0.0,0.0,0.0,354.7658450166617
2021-10-27,244.01802634025418,209.40250550102726,213.59822971669868,244.00992469120584,244.03007947095549,-32.47064477494712,-32.47064477494712,-32.47064477494712,-29.57414318720689,-29.57414318720689,-29.57414318720689,20.516709369062703,20.516709369062703,20.516709369062703,-12.529475103916479,-12.529475103916479,-12.529475103916479,-21.586908922060662,-21.586908922060662,-21.586908922060662,-11.069631205072252,-11.069631205072252,-11.069631205072252,0.18589535218579945,0.18589535218579945,0.18589535218579945,0.0,0.0,0.0,211.54738156530706
2021-10-28,244.00447229226063,267.233280127504,271.6213851720267,243.99530025238147,244.01792929400463,25.320377829187727,25.320377829187727,25.320377829187727,2.6371311157145008,2.6371311157145008,2.6371311157145008,-30.299953190959425,-30.299953190959425,-30.299953190959425,63.81651441871482,63.81651441871482,63.81651441871482,36.15369234346989,36.15369234346989,36.15369234346989,-11.013410778925046,-11.013410778925046,-11.013410778925046,0.18009626464287193,0.18009626464287193,0.18009626464287193,0.0,0.0,0.0,269.3248501214484
2021-10-29,243.9909182442671,51.86294396736599,56.50650913525838,243.9809790704898,244.00564122626787,-189.81439451238353,-189.81439451238353,-189.81439451238353,-87.50141425871607,-87.50141425871607,-87.50141425871607,-83.48018145144678,-83.48018145144678,-83.48018145144678,-7.922389529274749,-7.922389529274749,-7.922389529274749,-178.9039852394376,-178.9039852394376,-178.9039852394376,-11.082898450851625,-11.082898450851625,-11.082898450851625,0.17248917790570054,0.17248917790570054,0.17248917790570054,0.0,0.0,0.0,54.17652373188358
