c_name,c_date,c_price,c_open,c_high,c_low
台灣鋼鐵指數,2021-04-30,185.25,123.55,193.39,123.36
台灣鋼鐵指數,2021-03-31,123.4,117.86,123.4,116.67
台灣鋼鐵指數,2021-02-28,117.84,105.07,120.97,104.96
台灣鋼鐵指數,2021-01-31,105.1,117.99,124.87,105.1
台灣鋼鐵指數,2020-12-31,117.72,106.91,123.1,106.27
台灣鋼鐵指數,2020-11-30,106.7,93.75,108.93,93.45
台灣鋼鐵指數,2020-10-31,93.77,92.69,96.18,92.69
台灣鋼鐵指數,2020-09-30,92.69,90.75,97.1,90.54
台灣鋼鐵指數,2020-08-31,90.77,87.39,91.28,86.78
台灣鋼鐵指數,2020-07-31,87.42,90.36,92.1,86.62
台灣鋼鐵指數,2020-06-30,90.34,87.86,93.62,87.86
台灣鋼鐵指數,2020-05-31,87.82,86.68,89.12,85.85
台灣鋼鐵指數,2020-04-30,88.11,82.55,88.43,81.57
台灣鋼鐵指數,2020-03-31,82.55,97.37,99.28,78.31
台灣鋼鐵指數,2020-02-29,98.02,98.05,99.87,96.8
台灣鋼鐵指數,2020-01-31,98.33,102.33,102.77,97.72
台灣鋼鐵指數,2019-12-31,102.06,99.34,102.36,98.76
台灣鋼鐵指數,2019-11-30,99.34,100.05,101.78,98.46
台灣鋼鐵指數,2019-10-31,100.05,100.16,100.55,98.49
台灣鋼鐵指數,2019-09-30,99.39,100.56,103.02,99.38
台灣鋼鐵指數,2019-08-31,100.56,105.4,105.4,99.47
台灣鋼鐵指數,2019-07-31,105.53,108.34,108.88,105.43
台灣鋼鐵指數,2019-06-30,108.72,106.33,109.34,105.68
台灣鋼鐵指數,2019-05-31,106.59,108.38,108.86,105.05
台灣鋼鐵指數,2019-04-30,108.38,109.96,110.16,108.05
台灣鋼鐵指數,2019-03-31,110.06,109.55,110.27,107.73
台灣鋼鐵指數,2019-02-28,109.82,108.98,109.85,107.99
台灣鋼鐵指數,2019-01-31,108.84,104.55,108.91,103.36
台灣鋼鐵指數,2018-12-31,104.72,105.16,106.43,102.82
台灣鋼鐵指數,2018-11-30,104.64,104.67,107.73,103.32
台灣鋼鐵指數,2018-10-31,105.75,114.86,115.2,102.65
台灣鋼鐵指數,2018-09-30,115.01,110.42,115.69,107.26
台灣鋼鐵指數,2018-08-31,110.43,108.36,111.71,107.01
台灣鋼鐵指數,2018-07-31,108.36,104.38,108.36,102.45
台灣鋼鐵指數,2018-06-30,105.07,103.61,107.71,103.45
台灣鋼鐵指數,2018-05-31,103.62,105.5,106.33,102.31
台灣鋼鐵指數,2018-04-30,105.27,105.24,107.75,103.84
台灣鋼鐵指數,2018-03-31,104.89,105.33,107.65,101.74
台灣鋼鐵指數,2018-02-28,105.49,106.49,107.12,100.05
台灣鋼鐵指數,2018-01-31,106.49,103.94,109.2,103.93
台灣鋼鐵指數,2017-12-31,103.85,101.01,103.85,99.92
台灣鋼鐵指數,2017-11-30,100.98,101.71,103.48,100.15
