c_name,c_date,c_price,c_open,c_high,c_low
台灣鋼鐵指數,2021-10-01,172.57,176.0,176.09,171.69
台灣鋼鐵指數,2021-09-30,177.06,172.45,177.36,172.45
台灣鋼鐵指數,2021-09-29,171.73,172.01,174.26,170.9
台灣鋼鐵指數,2021-09-28,173.62,174.98,175.15,173.23
台灣鋼鐵指數,2021-09-27,175.14,175.51,177.58,174.74
台灣鋼鐵指數,2021-09-24,175.11,175.72,176.6,175.06
台灣鋼鐵指數,2021-09-23,174.85,176.59,177.84,173.58
台灣鋼鐵指數,2021-09-22,174.94,178.35,178.35,174.72
台灣鋼鐵指數,2021-09-17,183.23,185.26,187.03,182.65
台灣鋼鐵指數,2021-09-16,185.4,188.99,189.66,185.25
台灣鋼鐵指數,2021-09-15,188.67,189.26,189.45,186.27
台灣鋼鐵指數,2021-09-14,190.4,193.38,194.02,188.9
台灣鋼鐵指數,2021-09-13,193.51,188.79,194.39,188.79
台灣鋼鐵指數,2021-09-10,188.53,186.11,190.58,186.11
台灣鋼鐵指數,2021-09-09,185.78,181.41,185.84,181.37
台灣鋼鐵指數,2021-09-08,181.86,185.79,188.66,181.25
台灣鋼鐵指數,2021-09-07,185.88,187.85,189.06,184.3
台灣鋼鐵指數,2021-09-06,187.09,184.8,189.1,184.24
台灣鋼鐵指數,2021-09-03,183.73,183.89,187.32,183.09
台灣鋼鐵指數,2021-09-02,182.64,187.55,187.99,182.64
台灣鋼鐵指數,2021-09-01,187.17,188.88,191.61,187.14
台灣鋼鐵指數,2021-08-31,188.7,185.69,189.31,184.54
台灣鋼鐵指數,2021-08-30,185.61,184.72,187.26,183.39
台灣鋼鐵指數,2021-08-27,183.71,182.88,184.68,180.75
台灣鋼鐵指數,2021-08-26,182.72,178.92,189.18,178.8
台灣鋼鐵指數,2021-08-25,178.42,178.54,179.17,176.53
台灣鋼鐵指數,2021-08-24,178.06,177.16,178.96,174.11
台灣鋼鐵指數,2021-08-23,176.48,174.77,179.22,174.77
台灣鋼鐵指數,2021-08-20,172.9,174.28,175.92,170.57
台灣鋼鐵指數,2021-08-19,173.78,180.52,180.52,173.78
台灣鋼鐵指數,2021-08-18,182.26,175.48,182.87,172.91
台灣鋼鐵指數,2021-08-17,177.21,186.87,187.91,176.25
台灣鋼鐵指數,2021-08-16,186.09,189.82,191.78,183.9
台灣鋼鐵指數,2021-08-13,188.67,190.46,191.26,187.97
台灣鋼鐵指數,2021-08-12,191.68,186.84,191.68,185.99
台灣鋼鐵指數,2021-08-11,185.48,187.46,191.68,183.46
台灣鋼鐵指數,2021-08-10,185.82,188.15,189.36,185.59
台灣鋼鐵指數,2021-08-09,189.02,183.86,190.86,183.86
台灣鋼鐵指數,2021-08-06,183.56,183.66,186.08,181.36
台灣鋼鐵指數,2021-08-05,184.08,188.47,188.47,183.6
台灣鋼鐵指數,2021-08-04,189.05,190.72,191.83,188.13
台灣鋼鐵指數,2021-08-03,190.71,191.4,191.95,188.81
台灣鋼鐵指數,2021-08-02,192.52,189.45,192.52,188.57
台灣鋼鐵指數,2021-07-30,187.65,189.98,193.05,187.65
台灣鋼鐵指數,2021-07-29,189.22,184.09,189.36,182.84
台灣鋼鐵指數,2021-07-28,182.9,183.29,187.7,180.27
台灣鋼鐵指數,2021-07-27,183.08,187.55,188.41,182.76
台灣鋼鐵指數,2021-07-26,187.12,190.95,191.54,186.89
台灣鋼鐵指數,2021-07-23,190.07,186.24,191.25,185.28
台灣鋼鐵指數,2021-07-22,184.49,189.94,190.7,183.99
台灣鋼鐵指數,2021-07-21,187.44,195.33,198.24,186.94
台灣鋼鐵指數,2021-07-20,193.13,196.3,199.1,190.45
台灣鋼鐵指數,2021-07-19,196.87,191.58,199.07,191.58
台灣鋼鐵指數,2021-07-16,192.48,193.29,194.68,191.86
台灣鋼鐵指數,2021-07-15,195.17,187.87,195.17,187.87
台灣鋼鐵指數,2021-07-14,186.62,190.56,192.34,183.34
台灣鋼鐵指數,2021-07-13,191.39,203.34,204.34,191.14
台灣鋼鐵指數,2021-07-12,201.9,205.12,208.83,200.41
台灣鋼鐵指數,2021-07-09,199.47,200.42,203.16,198.71
台灣鋼鐵指數,2021-07-08,203.36,199.47,204.84,195.85
台灣鋼鐵指數,2021-07-07,197.76,204.73,206.62,196.91
台灣鋼鐵指數,2021-07-06,205.9,211.19,212.26,205.31
台灣鋼鐵指數,2021-07-05,208.94,207.81,214.4,207.14
台灣鋼鐵指數,2021-07-02,203.76,205.3,210.28,201.44
台灣鋼鐵指數,2021-07-01,203.2,210.33,214.52,199.96
台灣鋼鐵指數,2021-06-30,205.41,201.2,211.07,201.2
台灣鋼鐵指數,2021-06-29,196.55,192.47,201.05,192.2
台灣鋼鐵指數,2021-06-28,190.55,181.19,191.67,181.19
台灣鋼鐵指數,2021-06-25,179.35,182.72,183.91,178.9
台灣鋼鐵指數,2021-06-24,178.44,177.07,182.01,177.07
台灣鋼鐵指數,2021-06-23,175.09,182.32,185.56,174.72
台灣鋼鐵指數,2021-06-22,179.79,170.79,182.14,170.79
台灣鋼鐵指數,2021-06-21,168.66,171.91,172.84,167.48
台灣鋼鐵指數,2021-06-18,172.46,174.74,175.85,172.46
台灣鋼鐵指數,2021-06-17,174.04,172.32,178.59,171.78
台灣鋼鐵指數,2021-06-16,173.72,175.42,179.02,173.72
台灣鋼鐵指數,2021-06-15,175.92,173.9,177.11,171.68
台灣鋼鐵指數,2021-06-11,173.94,174.61,177.91,172.29
台灣鋼鐵指數,2021-06-10,173.95,173.69,175.28,168.18
台灣鋼鐵指數,2021-06-09,173.37,177.49,178.68,170.47
台灣鋼鐵指數,2021-06-08,178.02,176.93,180.77,176.93
台灣鋼鐵指數,2021-06-07,177.17,183.26,184.25,171.32
台灣鋼鐵指數,2021-06-04,182.21,183.65,188.89,182.12
台灣鋼鐵指數,2021-06-03,185.45,188.49,189.79,184.49
台灣鋼鐵指數,2021-06-02,187.3,181.89,189.12,179.35
台灣鋼鐵指數,2021-06-01,179.69,179.17,181.5,173.88
台灣鋼鐵指數,2021-05-31,177.23,177.7,186.72,175.13
台灣鋼鐵指數,2021-05-28,173.73,168.76,176.34,168.76
台灣鋼鐵指數,2021-05-27,163.32,164.17,168.18,163.32
台灣鋼鐵指數,2021-05-26,163.75,162.39,164.25,158.67
台灣鋼鐵指數,2021-05-25,161.76,166.7,168.39,159.92
台灣鋼鐵指數,2021-05-24,165.31,164.99,170.41,163.13
台灣鋼鐵指數,2021-05-21,168.01,166.01,171.11,160.11
台灣鋼鐵指數,2021-05-20,162.87,169.24,174.3,160.85
台灣鋼鐵指數,2021-05-19,173.47,163.68,175.05,163.68
台灣鋼鐵指數,2021-05-18,160.73,153.85,160.76,153.85
台灣鋼鐵指數,2021-05-17,146.38,152.34,156.21,145.45
台灣鋼鐵指數,2021-05-14,160.81,172.57,174.26,156.8
台灣鋼鐵指數,2021-05-13,169.48,173.0,179.1,164.23
台灣鋼鐵指數,2021-05-12,180.34,198.91,203.3,177.96
台灣鋼鐵指數,2021-05-11,197.32,203.1,216.71,190.53
台灣鋼鐵指數,2021-05-10,207.65,193.52,207.75,190.9
台灣鋼鐵指數,2021-05-07,192.06,193.17,194.98,183.67
台灣鋼鐵指數,2021-05-06,189.92,184.91,193.96,182.3
台灣鋼鐵指數,2021-05-05,181.54,173.94,185.13,171.13
台灣鋼鐵指數,2021-05-04,170.33,184.27,186.79,165.14
台灣鋼鐵指數,2021-05-03,182.46,187.9,193.63,182.46
台灣鋼鐵指數,2021-04-29,185.25,182.86,188.17,180.37
台灣鋼鐵指數,2021-04-28,178.97,181.57,182.81,177.86
台灣鋼鐵指數,2021-04-27,182.51,184.45,187.02,181.01
