ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-11-02,107.1315427158412,103.68200943171125,106.94415122105258,107.1315427158412,107.1315427158412,-1.8023129508632096,-1.8023129508632096,-1.8023129508632096,0.39756877290510473,0.39756877290510473,0.39756877290510473,-2.1998817237683146,-2.1998817237683146,-2.1998817237683146,0.0,0.0,0.0,105.329229764978
2011-11-03,106.96097726973072,103.51326276384727,106.6639586290422,106.96097726973072,106.96097726973072,-1.8138910715508068,-1.8138910715508068,-1.8138910715508068,0.4752624923012473,0.4752624923012473,0.4752624923012473,-2.2891535638520537,-2.2891535638520537,-2.2891535638520537,0.0,0.0,0.0,105.1470861981799
2011-11-04,106.79041182362025,103.16768517875964,106.42508688117101,106.79041182362025,106.79041182362025,-1.9494478063221374,-1.9494478063221374,-1.9494478063221374,0.42945783717358155,0.42945783717358155,0.42945783717358155,-2.3789056434957185,-2.3789056434957185,-2.3789056434957185,0.0,0.0,0.0,104.8409640172981
2011-11-07,106.27871548528879,102.44230770201811,105.63418477747462,106.27871548528879,106.27871548528879,-2.284475108369931,-2.284475108369931,-2.284475108369931,0.3540785693291944,0.3540785693291944,0.3540785693291944,-2.638553677699125,-2.638553677699125,-2.638553677699125,0.0,0.0,0.0,103.99424037691885
2011-11-08,106.1081500391783,102.28047427304232,105.51151574812776,106.1081500391783,106.1081500391783,-2.243842335465099,-2.243842335465099,-2.243842335465099,0.47384308069731507,0.47384308069731507,0.47384308069731507,-2.717685416162414,-2.717685416162414,-2.717685416162414,0.0,0.0,0.0,103.8643077037132
2011-11-09,105.93758459306783,102.00087882762942,105.0449770465072,105.93758459306783,105.93758459306783,-2.3935257966097643,-2.3935257966097643,-2.3935257966097643,0.3975687729027755,0.3975687729027755,0.3975687729027755,-2.7910945695125404,-2.7910945695125404,-2.7910945695125404,0.0,0.0,0.0,103.54405879645806
2011-11-10,105.76701914695734,101.93047441644674,104.97364428697071,105.76701914695734,105.76701914695734,-2.3824352510231965,-2.3824352510231965,-2.3824352510231965,0.4752624923034757,0.4752624923034757,0.4752624923034757,-2.8576977433266726,-2.8576977433266726,-2.8576977433266726,0.0,0.0,0.0,103.38458389593414
2011-11-11,105.59645370084685,101.63628091149218,104.756681582006,105.59645370084685,105.59645370084685,-2.487078345830496,-2.487078345830496,-2.487078345830496,0.42945783716712266,0.42945783716712266,0.42945783716712266,-2.9165361829976186,-2.9165361829976186,-2.9165361829976186,0.0,0.0,0.0,103.10937535501635
2011-11-14,105.0847573625154,100.91137824154427,104.02388813380281,105.0847573625154,105.0847573625154,-2.685156353803368,-2.685156353803368,-2.685156353803368,0.3540785693335945,0.3540785693335945,0.3540785693335945,-3.039234923136963,-3.039234923136963,-3.039234923136963,0.0,0.0,0.0,102.39960100871204
2011-11-15,104.91419191640493,100.70936981501757,103.98954761429287,104.91419191640493,104.91419191640493,-2.5868474859554462,-2.5868474859554462,-2.5868474859554462,0.47384308069878317,0.47384308069878317,0.47384308069878317,-3.0606905666542294,-3.0606905666542294,-3.0606905666542294,0.0,0.0,0.0,102.32734443044949
