ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-02,99.27923619043028,85.43089593931164,87.5272017920731,99.27923619043028,99.27923619043028,-11.183617598490262,-11.183617598490262,-11.183617598490262,-7.922723727136896,-7.922723727136896,-7.922723727136896,6.776568966153807,6.776568966153807,6.776568966153807,-12.792256190881295,-12.792256190881295,-12.792256190881295,-12.32977235947335,-12.32977235947335,-12.32977235947335,-0.5453087274479049,-0.5453087274479049,-0.5453087274479049,0.08282489603995902,0.08282489603995902,0.08282489603995902,0.0,0.0,0.0,86.48697999954899
2020-01-03,99.28358863747671,93.66764787375885,95.75648515535009,99.28358863747671,99.28358863747671,-4.489631097197176,-4.489631097197176,-4.489631097197176,-0.9346466908363649,-0.9346466908363649,-0.9346466908363649,1.3823397223095386,1.3823397223095386,1.3823397223095386,-4.488352224143303,-4.488352224143303,-4.488352224143303,-4.041938065724002,-4.041938065724002,-4.041938065724002,-0.5401923331875093,-0.5401923331875093,-0.5401923331875093,0.09377817476820893,0.09377817476820893,0.09377817476820893,0.0,0.0,0.0,94.79523641333341
2020-01-06,99.29664597861601,93.87439227680362,95.91641254996321,99.29622315842778,99.29717376530577,-4.280573430582567,-4.280573430582567,-4.280573430582567,-1.0750867316631738,-1.0750867316631738,-1.0750867316631738,1.349150826978047,1.349150826978047,1.349150826978047,-4.44661260565568,-4.44661260565568,-4.44661260565568,-4.006509335267694,-4.006509335267694,-4.006509335267694,-0.5580997562639863,-0.5580997562639863,-0.5580997562639863,0.11799648587600083,0.11799648587600083,0.11799648587600083,0.0,0.0,0.0,94.85003337296033
2020-01-07,99.30099842566244,93.08081893575014,95.13292719396286,99.29930307465763,99.3023306227541,-4.602870666613418,-4.602870666613418,-4.602870666613418,-1.5955410006096398,-1.5955410006096398,-1.5955410006096398,1.3358752688454458,1.3358752688454458,1.3358752688454458,-5.1760279666064495,-5.1760279666064495,-5.1760279666064495,-4.862536398377611,-4.862536398377611,-4.862536398377611,-0.43632036262252194,-0.43632036262252194,-0.43632036262252194,0.12282879439368376,0.12282879439368376,0.12282879439368376,0.0,0.0,0.0,94.12497045905599
2020-01-08,99.30535087270887,92.74495604481159,94.8752681280306,99.30210034544012,99.30754045964355,-5.230043666457258,-5.230043666457258,-5.230043666457258,-1.8516375456467866,-1.8516375456467866,-1.8516375456467866,2.012928733607805,2.012928733607805,2.012928733607805,-5.4475293308242865,-5.4475293308242865,-5.4475293308242865,-5.068752478496239,-5.068752478496239,-5.068752478496239,-0.5047506353688627,-0.5047506353688627,-0.5047506353688627,0.12597378304081536,0.12597378304081536,0.12597378304081536,0.0,0.0,0.0,93.85782154188459
2020-01-09,99.3097033197553,91.67818149225162,93.760739116078,99.30495031644604,99.31285922602154,-5.804952249647438,-5.804952249647438,-5.804952249647438,-2.562098928653074,-2.562098928653074,-2.562098928653074,2.2518887799945104,2.2518887799945104,2.2518887799945104,-6.5330082453944165,-6.5330082453944165,-6.5330082453944165,-6.115162398306002,-6.115162398306002,-6.115162398306002,-0.5453087274504048,-0.5453087274504048,-0.5453087274504048,0.12746288036199063,0.12746288036199063,0.12746288036199063,0.0,0.0,0.0,92.77669507436089
2020-01-10,99.31405576680173,92.44799813263627,94.4756775650255,99.30730009750644,99.31822474627467,-5.761398569102732,-5.761398569102732,-5.761398569102732,-2.562098928653074,-2.562098928653074,-2.562098928653074,2.842651116894997,2.842651116894997,2.842651116894997,-5.893663332885503,-5.893663332885503,-5.893663332885503,-5.480846380860809,-5.480846380860809,-5.480846380860809,-0.5401923331927222,-0.5401923331927222,-0.5401923331927222,0.12737538116802802,0.12737538116802802,0.12737538116802802,0.0,0.0,0.0,93.42039243391622
2020-01-13,99.32711310794103,92.81759588045281,94.88728809277357,99.31493276666393,99.33661455139995,-5.473944277507633,-5.473944277507633,-5.473944277507633,-2.0416446597066082,-2.0416446597066082,-2.0416446597066082,2.4244710357182444,2.4244710357182444,2.4244710357182444,-5.5301003527741,-5.5301003527741,-5.5301003527741,-5.0911179014959975,-5.0911179014959975,-5.0911179014959975,-0.5580997562682715,-0.5580997562682715,-0.5580997562682715,0.11911730499016919,0.11911730499016919,0.11911730499016919,0.0,0.0,0.0,93.79701275516693
2020-01-14,99.33146555498746,93.66056689906148,95.7203621318511,99.31694874370447,99.34232635884331,-4.79450686101015,-4.79450686101015,-4.79450686101015,-1.5624962851209694,-1.5624962851209694,-1.5624962851209694,2.039479849872984,2.039479849872984,2.039479849872984,-4.639460219323761,-4.639460219323761,-4.639460219323761,-4.317523296258136,-4.317523296258136,-4.317523296258136,-0.4363203626297914,-0.4363203626297914,-0.4363203626297914,0.11438343956416526,0.11438343956416526,0.11438343956416526,0.0,0.0,0.0,94.6920053356637
2020-01-15,99.33581800203389,93.65569843363068,95.74513790681932,99.31917999794747,99.34793989579885,-4.689978027702846,-4.689978027702846,-4.689978027702846,-1.108131447151844,-1.108131447151844,-1.108131447151844,1.5217330827017812,1.5217330827017812,1.5217330827017812,-4.672047192564314,-4.672047192564314,-4.672047192564314,-4.276376392152909,-4.276376392152909,-4.276376392152909,-0.5047506353703798,-0.5047506353703798,-0.5047506353703798,0.10907983495897498,0.10907983495897498,0.10907983495897498,0.0,0.0,0.0,94.66377080946958
