ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-11-02,105.13509385876495,101.40238231452658,105.47929424789108,105.13509385876495,105.13509385876495,-1.6262966970761985,-1.6262966970761985,-1.6262966970761985,0.21359972206049505,0.21359972206049505,0.21359972206049505,-1.8398964191366938,-1.8398964191366938,-1.8398964191366938,0.0,0.0,0.0,103.50879716168875
2011-11-03,105.05463555358718,101.6136723023682,105.40640375051754,105.05463555358718,105.05463555358718,-1.6533005009512922,-1.6533005009512922,-1.6533005009512922,0.2165050743513538,0.2165050743513538,0.2165050743513538,-1.869805575302646,-1.869805575302646,-1.869805575302646,0.0,0.0,0.0,103.40133505263589
2011-11-04,104.9741772484094,101.31534690802076,105.10454965231416,104.9741772484094,104.9741772484094,-1.7207394737753317,-1.7207394737753317,-1.7207394737753317,0.18186558776613854,0.18186558776613854,0.18186558776613854,-1.9026050615414702,-1.9026050615414702,-1.9026050615414702,0.0,0.0,0.0,103.25343777463408
2011-11-07,104.73280233287609,101.06072296681175,104.82838669791195,104.73280233287609,104.73280233287609,-1.8854663415000288,-1.8854663415000288,-1.8854663415000288,0.13000996157601083,0.13000996157601083,0.13000996157601083,-2.0154763030760394,-2.0154763030760394,-2.0154763030760394,0.0,0.0,0.0,102.84733599137606
2011-11-08,104.65234402769832,100.85567227932701,104.78466251464248,104.65234402769832,104.65234402769832,-1.8165174397377817,-1.8165174397377817,-1.8165174397377817,0.23995200808410924,0.23995200808410924,0.23995200808410924,-2.056469447821891,-2.056469447821891,-2.056469447821891,0.0,0.0,0.0,102.83582658796054
2011-11-09,104.57188572252055,100.84619916002991,104.78639845573254,104.57188572252055,104.57188572252055,-1.8846233795281708,-1.8846233795281708,-1.8846233795281708,0.21359972205920139,0.21359972205920139,0.21359972205920139,-2.0982231015873722,-2.0982231015873722,-2.0982231015873722,0.0,0.0,0.0,102.68726234299238
2011-11-10,104.49142741734278,100.68722888444168,104.54162608287737,104.49142741734278,104.49142741734278,-1.9235972939789903,-1.9235972939789903,-1.9235972939789903,0.21650507435250888,0.21650507435250888,0.21650507435250888,-2.1401023683314992,-2.1401023683314992,-2.1401023683314992,0.0,0.0,0.0,102.56783012336379
2011-11-11,104.410969112165,100.37846977622023,104.34349997509712,104.410969112165,104.410969112165,-1.9995810282409208,-1.9995810282409208,-1.9995810282409208,0.1818655877625673,0.1818655877625673,0.1818655877625673,-2.181446616003488,-2.181446616003488,-2.181446616003488,0.0,0.0,0.0,102.41138808392408
2011-11-14,104.16959419663169,100.13546682547695,104.00220776651732,104.16959419663169,104.16959419663169,-2.1657010913788697,-2.1657010913788697,-2.1657010913788697,0.13000996157844358,0.13000996157844358,0.13000996157844358,-2.295711052957313,-2.295711052957313,-2.295711052957313,0.0,0.0,0.0,102.00389310525283
2011-11-15,104.08913589145392,100.03150255271476,103.94547889930226,104.08913589145392,104.08913589145392,-2.088560631199792,-2.088560631199792,-2.088560631199792,0.2399520080849885,0.2399520080849885,0.2399520080849885,-2.3285126392847806,-2.3285126392847806,-2.3285126392847806,0.0,0.0,0.0,102.00057526025412
2011-11-16,104.00867758627615,99.94597283266525,103.88908542333962,104.00867758627615,104.00867758627615,-2.144197270963864,-2.144197270963864,-2.144197270963864,0.21359972205790778,0.21359972205790778,0.21359972205790778,-2.3577969930217715,-2.3577969930217715,-2.3577969930217715,0.0,0.0,0.0,101.86448031531229
2011-11-17,103.92821928109838,99.95939845039813,103.56422113539917,103.92821928109838,103.92821928109838,-2.166651701006611,-2.166651701006611,-2.166651701006611,0.2165050743500279,0.2165050743500279,0.2165050743500279,-2.383156775356639,-2.383156775356639,-2.383156775356639,0.0,0.0,0.0,101.76156758009176
2011-11-18,103.84776097592061,99.64895056517426,103.48964080425954,103.84776097592061,103.84776097592061,-2.2224135634890327,-2.2224135634890327,-2.2224135634890327,0.18186558776445946,0.18186558776445946,0.18186558776445946,-2.4042791512534927,-2.4042791512534927,-2.4042791512534927,0.0,0.0,0.0,101.62534741243158
2011-11-21,103.6063860603873,99.27343750787234,103.1596847786908,103.6063860603873,103.6063860603873,-2.3106348011615854,-2.3106348011615854,-2.3106348011615854,0.13000996157884442,0.13000996157884442,0.13000996157884442,-2.4406447627404297,-2.4406447627404297,-2.4406447627404297,0.0,0.0,0.0,101.29575125922571
2011-11-22,103.52592775520952,99.34842660342979,103.37014245506568,103.52592775520952,103.52592775520952,-2.2038169537022094,-2.2038169537022094,-2.2038169537022094,0.23995200808586795,0.23995200808586795,0.23995200808586795,-2.443768961788077,-2.443768961788077,-2.443768961788077,0.0,0.0,0.0,101.3221108015073
2011-11-23,103.44546945003175,99.34015259215539,103.16464680437431,103.44546945003175,103.44546945003175,-2.2290492606087815,-2.2290492606087815,-2.2290492606087815,0.21359972206160188,0.21359972206160188,0.21359972206160188,-2.4426489826703834,-2.4426489826703834,-2.4426489826703834,0.0,0.0,0.0,101.21642018942298
2011-11-24,103.36501114485398,99.24077007510951,103.20982349264779,103.36501114485398,103.36501114485398,-2.221068238002416,-2.221068238002416,-2.221068238002416,0.21650507435391755,0.21650507435391755,0.21650507435391755,-2.4375733123563332,-2.4375733123563332,-2.4375733123563332,0.0,0.0,0.0,101.14394290685156
