ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,71.96214430700346,-83.54023277628541,-66.05796973064649,71.96214430700346,71.96214430700346,-116.59034492910675,-116.59034492910675,-116.59034492910675,-108.51973365285106,-108.51973365285106,-108.51973365285106,85.45902034096501,85.45902034096501,85.45902034096501,-146.7549600190711,-146.7549600190711,-146.7549600190711,-139.6510582409928,-139.6510582409928,-139.6510582409928,-7.103901778078297,-7.103901778078297,-7.103901778078297,0.0,0.0,0.0,-74.79281571206764
2001-02-01,73.33217804665173,-63.86728236771767,-46.29629277784779,73.33217804665173,73.33217804665173,-115.05759079810065,-115.05759079810065,-115.05759079810065,-106.71177931996249,-106.71177931996249,-106.71177931996249,85.34993155601829,85.34993155601829,85.34993155601829,-128.669956901048,-128.669956901048,-128.669956901048,-136.41943856204486,-136.41943856204486,-136.41943856204486,7.749481660996818,7.749481660996818,7.749481660996818,0.0,0.0,0.0,-55.33777885439628
2001-03-01,74.56962787601151,-62.22788668231363,-44.770153004302934,74.56962787601151,74.56962787601151,-111.63466015141829,-111.63466015141829,-111.63466015141829,-106.60718729738798,-106.60718729738798,-106.60718729738798,84.06266391858897,84.06266391858897,84.06266391858897,-128.10574251017044,-128.10574251017044,-128.10574251017044,-134.1791835302173,-134.1791835302173,-134.1791835302173,6.07344102004685,6.07344102004685,6.07344102004685,0.0,0.0,0.0,-53.536114634158935
2001-04-01,75.9396616156598,-60.928511630663984,-44.30491440206525,75.9396616156598,75.9396616156598,-106.84393430731997,-106.84393430731997,-106.84393430731997,-108.12377732455639,-108.12377732455639,-108.12377732455639,85.62810920607359,85.62810920607359,85.62810920607359,-128.13396067926138,-128.13396067926138,-128.13396067926138,-129.3396024258028,-129.3396024258028,-129.3396024258028,1.2056417465414115,1.2056417465414115,1.2056417465414115,0.0,0.0,0.0,-52.19429906360158
2001-05-01,77.26550071854525,-49.18207060566135,-32.82441001882417,77.26550071854525,77.26550071854525,-102.45873884473691,-102.45873884473691,-102.45873884473691,-95.52038160594812,-95.52038160594812,-95.52038160594812,77.32632533063325,77.32632533063325,77.32632533063325,-118.43607019882332,-118.43607019882332,-118.43607019882332,-120.65279512005178,-120.65279512005178,-120.65279512005178,2.216724921228454,2.216724921228454,2.216724921228454,0.0,0.0,0.0,-41.17056948027806
2001-06-01,78.63553445819353,-49.69259147095746,-32.89455042844944,78.63553445819353,78.63553445819353,-99.77813126513507,-99.77813126513507,-99.77813126513507,-96.22264721452375,-96.22264721452375,-96.22264721452375,75.53179109787827,75.53179109787827,75.53179109787827,-119.4581578373416,-119.4581578373416,-119.4581578373416,-120.46898738178055,-120.46898738178055,-120.46898738178055,1.010829544438955,1.010829544438955,1.010829544438955,0.0,0.0,0.0,-40.82262337914807
2001-07-01,79.961373561079,-50.23770496570103,-34.169023942506165,79.961373561079,79.961373561079,-104.85753655400359,-104.85753655400359,-104.85753655400359,-97.34328091339749,-97.34328091339749,-97.34328091339749,77.16814784090161,77.16814784090161,77.16814784090161,-122.23285738168228,-122.23285738168228,-122.23285738168228,-125.03266962649947,-125.03266962649947,-125.03266962649947,2.7998122448171787,2.7998122448171787,2.7998122448171787,0.0,0.0,0.0,-42.27148382060328
2001-08-01,81.3314073007273,-52.323666425944886,-34.303987629120215,81.3314073007273,81.3314073007273,-105.60673443946908,-105.60673443946908,-105.60673443946908,-95.82669088622906,-95.82669088622906,-95.82669088622906,77.17905505480813,77.17905505480813,77.17905505480813,-124.62771702396319,-124.62771702396319,-124.62771702396319,-124.25437027089005,-124.25437027089005,-124.25437027089005,-0.37334675307314064,-0.37334675307314064,-0.37334675307314064,0.0,0.0,0.0,-43.29630972323588
2001-09-01,82.70144104037561,-72.41715199692266,-54.758416757157114,82.70144104037561,82.70144104037561,-106.4659031993447,-106.4659031993447,-106.4659031993447,-114.5487427247983,-114.5487427247983,-114.5487427247983,77.25541803656492,77.25541803656492,77.25541803656492,-146.25844234797174,-146.25844234797174,-146.25844234797174,-143.75922788757808,-143.75922788757808,-143.75922788757808,-2.499214460393674,-2.499214460393674,-2.499214460393674,0.0,0.0,0.0,-63.557001307596124
2001-10-01,84.02728014326105,-62.014281541876485,-44.28220761142959,84.02728014326105,84.02728014326105,-117.07148258100703,-117.07148258100703,-117.07148258100703,-111.24661012674473,-111.24661012674473,-111.24661012674473,88.32810032894432,88.32810032894432,88.32810032894432,-136.88915441384296,-136.88915441384296,-136.88915441384296,-139.98999237880744,-139.98999237880744,-139.98999237880744,3.100837964964482,3.100837964964482,3.100837964964482,0.0,0.0,0.0,-52.86187427058191
