ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,-5070400.644372616,-85242506.15162389,186150780.56743684,-5070400.644372616,-5070400.644372616,53614557.370108366,53614557.370108366,53614557.370108366,53614557.370108366,53614557.370108366,53614557.370108366,0.0,0.0,0.0,48544156.725735754
2010-02-01,-8484875.36229754,-116483557.26819138,144691916.67100048,-8484875.36229754,-8484875.36229754,26875969.350243654,26875969.350243654,26875969.350243654,26875969.350243654,26875969.350243654,26875969.350243654,0.0,0.0,0.0,18391093.987946115
2010-03-01,-11568917.024817526,-99213559.502117,174639992.117277,-11568917.024817526,-11568917.024817526,46613694.573597774,46613694.573597774,46613694.573597774,46613694.573597774,46613694.573597774,46613694.573597774,0.0,0.0,0.0,35044777.54878025
2010-04-01,-14983391.736736504,-109649783.67143093,165246102.01730028,-14983391.736736504,-14983391.736736504,47937228.540520236,47937228.540520236,47937228.540520236,47937228.540520236,47937228.540520236,47937228.540520236,0.0,0.0,0.0,32953836.80378373
2010-05-01,-18287722.11523985,-150632932.4622669,134867510.8747489,-18287722.11523985,-18287722.11523985,14906584.47122203,14906584.47122203,14906584.47122203,14906584.47122203,14906584.47122203,14906584.47122203,0.0,0.0,0.0,-3381137.644017821
2010-06-01,-21702196.833392493,-144549495.77389145,137336174.32787198,-21702196.833392493,-21702196.833392493,16699163.404200971,16699163.404200971,16699163.404200971,16699163.404200971,16699163.404200971,16699163.404200971,0.0,0.0,0.0,-5003033.429191522
2010-07-01,-25006527.22221097,-147780926.68482128,125208013.26466991,-25006527.22221097,-25006527.22221097,12382587.297426403,12382587.297426403,12382587.297426403,12382587.297426403,12382587.297426403,12382587.297426403,0.0,0.0,0.0,-12623939.924784567
2010-08-01,-28421001.97087383,-173390559.19258928,96139629.19085598,-28421001.97087383,-28421001.97087383,-14005901.855144318,-14005901.855144318,-14005901.855144318,-14005901.855144318,-14005901.855144318,-14005901.855144318,0.0,0.0,0.0,-42426903.82601815
2010-09-01,-31835476.73712084,-171705469.1612755,103345188.72538814,-31835476.73712084,-31835476.73712084,-6458128.849443476,-6458128.849443476,-6458128.849443476,-6458128.849443476,-6458128.849443476,-6458128.849443476,0.0,0.0,0.0,-38293605.58656432
2010-10-01,-35139807.15629898,-162525652.83731347,106630065.40828846,-35139807.15629898,-35139807.15629898,6352849.748740567,6352849.748740567,6352849.748740567,6352849.748740567,6352849.748740567,6352849.748740567,0.0,0.0,0.0,-28786957.40755841
2010-11-01,-38554281.9264196,-197940108.88889718,79468933.40587124,-38554281.9264196,-38554281.9264196,-16273236.134559222,-16273236.134559222,-16273236.134559222,-16273236.134559222,-16273236.134559222,-16273236.134559222,0.0,0.0,0.0,-54827518.06097882
2010-12-01,-41858612.34287241,-166267866.39578328,112821760.61267594,-41858612.34287241,-41858612.34287241,11500979.927747557,11500979.927747557,11500979.927747557,11500979.927747557,11500979.927747557,11500979.927747557,0.0,0.0,0.0,-30357632.415124856
2011-01-01,-45273087.10296256,-155868394.98574814,127781222.15355472,-45273087.10296256,-45273087.10296256,27464447.00384391,27464447.00384391,27464447.00384391,27464447.00384391,27464447.00384391,27464447.00384391,0.0,0.0,0.0,-17808640.09911865
2011-02-01,-48687561.85912822,-163622408.0510613,97394191.04624356,-48687561.85912822,-48687561.85912822,14557352.127670983,14557352.127670983,14557352.127670983,14557352.127670983,14557352.127670983,14557352.127670983,0.0,0.0,0.0,-34130209.73145724
2011-03-01,-51771603.5953665,-113954031.42758855,165259576.55173486,-51771603.5953665,-51771603.5953665,78099380.93600968,78099380.93600968,78099380.93600968,78099380.93600968,78099380.93600968,78099380.93600968,0.0,0.0,0.0,26327777.340643175
2011-04-01,-55186078.356276385,-133823004.09842299,141945568.35912848,-55186078.356276385,-55186078.356276385,57847519.706635535,57847519.706635535,57847519.706635535,57847519.706635535,57847519.706635535,57847519.706635535,0.0,0.0,0.0,2661441.3503591493
2011-05-01,-58490408.766527906,-185115413.90160468,84794265.15941636,-58490408.766527906,-58490408.766527906,8125898.6036323765,8125898.6036323765,8125898.6036323765,8125898.6036323765,8125898.6036323765,8125898.6036323765,0.0,0.0,0.0,-50364510.16289553
