ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,241.60940243053471,201.54339136818214,296.30303356277796,241.60940243053471,241.60940243053471,5.769069452589133,5.769069452589133,5.769069452589133,5.769069452589133,5.769069452589133,5.769069452589133,0.0,0.0,0.0,247.37847188312384
2010-02-01,241.3189568644847,208.11968267672847,297.28333078586064,241.3189568644847,241.3189568644847,9.916343631018044,9.916343631018044,9.916343631018044,9.916343631018044,9.916343631018044,9.916343631018044,0.0,0.0,0.0,251.23530049550274
2010-03-01,241.0566189338589,204.22308189598095,295.8293877532701,241.0566189338589,241.0566189338589,9.557591261738475,9.557591261738475,9.557591261738475,9.557591261738475,9.557591261738475,9.557591261738475,0.0,0.0,0.0,250.6142101955974
2010-04-01,240.76617334918166,200.6140978759167,295.71741498504826,240.76617334918166,240.76617334918166,7.950496809585537,7.950496809585537,7.950496809585537,7.950496809585537,7.950496809585537,7.950496809585537,0.0,0.0,0.0,248.7166701587672
2010-05-01,240.48509697691335,186.95664632178253,286.838535948734,240.48509697691335,240.48509697691335,-3.2857661684983044,-3.2857661684983044,-3.2857661684983044,-3.2857661684983044,-3.2857661684983044,-3.2857661684983044,0.0,0.0,0.0,237.19933080841506
2010-06-01,240.19465138828306,189.0097311078571,283.53557175471104,240.19465138828306,240.19465138828306,-4.731904763371979,-4.731904763371979,-4.731904763371979,-4.731904763371979,-4.731904763371979,-4.731904763371979,0.0,0.0,0.0,235.4627466249111
2010-07-01,239.91357501218923,194.27707657042936,290.8332037143197,239.91357501218923,239.91357501218923,-0.215370889382525,-0.215370889382525,-0.215370889382525,-0.215370889382525,-0.215370889382525,-0.215370889382525,0.0,0.0,0.0,239.69820412280671
2010-08-01,239.6231294355728,182.9241951282482,278.7708742334515,239.6231294355728,239.6231294355728,-9.01275565218755,-9.01275565218755,-9.01275565218755,-9.01275565218755,-9.01275565218755,-9.01275565218755,0.0,0.0,0.0,230.61037378338523
2010-09-01,239.3326838589563,179.70887662288047,276.20459404871116,239.3326838589563,239.3326838589563,-12.92579436601012,-12.92579436601012,-12.92579436601012,-12.92579436601012,-12.92579436601012,-12.92579436601012,0.0,0.0,0.0,226.4068894929462
2010-10-01,239.0516074849672,186.1786664765215,280.60670764688376,239.0516074849672,239.0516074849672,-4.548706085932541,-4.548706085932541,-4.548706085932541,-4.548706085932541,-4.548706085932541,-4.548706085932541,0.0,0.0,0.0,234.50290139903467
2010-11-01,238.76116189851174,194.03008471295627,293.0946033072731,238.76116189851174,238.76116189851174,4.133739613186162,4.133739613186162,4.133739613186162,4.133739613186162,4.133739613186162,4.133739613186162,0.0,0.0,0.0,242.8949015116979
2010-12-01,238.48008552937165,195.78637454000952,291.41858839338084,238.48008552937165,238.48008552937165,6.379403788523659,6.379403788523659,6.379403788523659,6.379403788523659,6.379403788523659,6.379403788523659,0.0,0.0,0.0,244.8594893178953
2011-01-01,238.18963994792685,198.68631723382902,286.98407077784447,238.18963994792685,238.18963994792685,5.5054452384470425,5.5054452384470425,5.5054452384470425,5.5054452384470425,5.5054452384470425,5.5054452384470425,0.0,0.0,0.0,243.6950851863739
2011-02-01,237.89919437342058,201.31690509319347,295.95357620903496,237.89919437342058,237.89919437342058,9.007099567390162,9.007099567390162,9.007099567390162,9.007099567390162,9.007099567390162,9.007099567390162,0.0,0.0,0.0,246.90629394081074
2011-03-01,237.63685643515686,197.62576254929584,293.125957760187,237.63685643515686,237.63685643515686,10.42784964803197,10.42784964803197,10.42784964803197,10.42784964803197,10.42784964803197,10.42784964803197,0.0,0.0,0.0,248.06470608318884
2011-04-01,237.34641086065054,204.11241491473064,292.3312047296955,237.34641086065054,237.34641086065054,8.215571852581258,8.215571852581258,8.215571852581258,8.215571852581258,8.215571852581258,8.215571852581258,0.0,0.0,0.0,245.5619827132318
2011-05-01,237.06533448845752,188.1121489066573,283.62511869098284,237.06533448845752,237.06533448845752,-3.320390451647126,-3.320390451647126,-3.320390451647126,-3.320390451647126,-3.320390451647126,-3.320390451647126,0.0,0.0,0.0,233.7449440368104
2011-06-01,236.77488890385806,185.35297125490155,282.47608376007594,236.77488890385806,236.77488890385806,-4.786361938554808,-4.786361938554808,-4.786361938554808,-4.786361938554808,-4.786361938554808,-4.786361938554808,0.0,0.0,0.0,231.98852696530324
2011-07-01,236.49381250788326,186.4237995712458,278.9885758401799,236.49381250788326,236.49381250788326,-0.40429904963099395,-0.40429904963099395,-0.40429904963099395,-0.40429904963099395,-0.40429904963099395,-0.40429904963099395,0.0,0.0,0.0,236.08951345825227
2011-08-01,236.20336689870933,177.9138488132931,275.4638323439865,236.20336689870933,236.20336689870933,-9.177842642444523,-9.177842642444523,-9.177842642444523,-9.177842642444523,-9.177842642444523,-9.177842642444523,0.0,0.0,0.0,227.02552425626482
2011-09-01,235.91292132357478,178.88068072472143,270.81905053957706,235.91292132357478,235.91292132357478,-13.125142386579155,-13.125142386579155,-13.125142386579155,-13.125142386579155,-13.125142386579155,-13.125142386579155,0.0,0.0,0.0,222.78777893699564
2011-10-01,235.63184496054134,184.51801335876257,279.79438075741126,235.63184496054134,235.63184496054134,-4.088188363720513,-4.088188363720513,-4.088188363720513,-4.088188363720513,-4.088188363720513,-4.088188363720513,0.0,0.0,0.0,231.54365659682082
