ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,-5070400.644372616,-92900243.01980096,175930962.16612563,-5070400.644372616,-5070400.644372616,53614557.370108366,53614557.370108366,53614557.370108366,53614557.370108366,53614557.370108366,53614557.370108366,0.0,0.0,0.0,48544156.725735754
2010-02-01,-8484875.36229754,-116914180.20708075,149280465.92427072,-8484875.36229754,-8484875.36229754,26875969.350243654,26875969.350243654,26875969.350243654,26875969.350243654,26875969.350243654,26875969.350243654,0.0,0.0,0.0,18391093.987946115
2010-03-01,-11568917.024817526,-110311663.55246821,173193350.927574,-11568917.024817526,-11568917.024817526,46613694.573597774,46613694.573597774,46613694.573597774,46613694.573597774,46613694.573597774,46613694.573597774,0.0,0.0,0.0,35044777.54878025
2010-04-01,-14983391.736736504,-112874176.1846763,164831635.09249255,-14983391.736736504,-14983391.736736504,47937228.540520236,47937228.540520236,47937228.540520236,47937228.540520236,47937228.540520236,47937228.540520236,0.0,0.0,0.0,32953836.80378373
2010-05-01,-18287722.11523985,-136596227.89508927,131869193.00884233,-18287722.11523985,-18287722.11523985,14906584.47122203,14906584.47122203,14906584.47122203,14906584.47122203,14906584.47122203,14906584.47122203,0.0,0.0,0.0,-3381137.644017821
2010-06-01,-21702196.833392493,-143183450.7628201,131694536.8758596,-21702196.833392493,-21702196.833392493,16699163.404200971,16699163.404200971,16699163.404200971,16699163.404200971,16699163.404200971,16699163.404200971,0.0,0.0,0.0,-5003033.429191522
2010-07-01,-25006527.22221097,-152322197.75402638,134146121.23531093,-25006527.22221097,-25006527.22221097,12382587.297426403,12382587.297426403,12382587.297426403,12382587.297426403,12382587.297426403,12382587.297426403,0.0,0.0,0.0,-12623939.924784567
2010-08-01,-28421001.97087383,-177506431.10906702,96330733.5161597,-28421001.97087383,-28421001.97087383,-14005901.855144318,-14005901.855144318,-14005901.855144318,-14005901.855144318,-14005901.855144318,-14005901.855144318,0.0,0.0,0.0,-42426903.82601815
2010-09-01,-31835476.73712084,-181806232.73878592,100810883.8258408,-31835476.73712084,-31835476.73712084,-6458128.849443476,-6458128.849443476,-6458128.849443476,-6458128.849443476,-6458128.849443476,-6458128.849443476,0.0,0.0,0.0,-38293605.58656432
2010-10-01,-35139807.15629898,-176229992.81405252,101490683.38300475,-35139807.15629898,-35139807.15629898,6352849.748740567,6352849.748740567,6352849.748740567,6352849.748740567,6352849.748740567,6352849.748740567,0.0,0.0,0.0,-28786957.40755841
2010-11-01,-38554281.9264196,-192275013.37383288,96684813.76806508,-38554281.9264196,-38554281.9264196,-16273236.134559222,-16273236.134559222,-16273236.134559222,-16273236.134559222,-16273236.134559222,-16273236.134559222,0.0,0.0,0.0,-54827518.06097882
2010-12-01,-41858612.34287241,-165413390.9123226,112877020.82532193,-41858612.34287241,-41858612.34287241,11500979.927747557,11500979.927747557,11500979.927747557,11500979.927747557,11500979.927747557,11500979.927747557,0.0,0.0,0.0,-30357632.415124856
2011-01-01,-45273087.10296256,-159710584.6620689,132238541.06563148,-45273087.10296256,-45273087.10296256,27464447.00384391,27464447.00384391,27464447.00384391,27464447.00384391,27464447.00384391,27464447.00384391,0.0,0.0,0.0,-17808640.09911865
2011-02-01,-48687561.85912822,-164821078.3983839,98143962.39979754,-48687561.85912822,-48687561.85912822,14557352.127670983,14557352.127670983,14557352.127670983,14557352.127670983,14557352.127670983,14557352.127670983,0.0,0.0,0.0,-34130209.73145724
2011-03-01,-51771603.5953665,-111656696.81318697,161485651.34865308,-51771603.5953665,-51771603.5953665,78099380.93600968,78099380.93600968,78099380.93600968,78099380.93600968,78099380.93600968,78099380.93600968,0.0,0.0,0.0,26327777.340643175
2011-04-01,-55186078.356276385,-130978303.47427206,141415831.93269205,-55186078.356276385,-55186078.356276385,57847519.706635535,57847519.706635535,57847519.706635535,57847519.706635535,57847519.706635535,57847519.706635535,0.0,0.0,0.0,2661441.3503591493
2011-05-01,-58490408.766527906,-190004084.45545304,86238707.11273268,-58490408.766527906,-58490408.766527906,8125898.6036323765,8125898.6036323765,8125898.6036323765,8125898.6036323765,8125898.6036323765,8125898.6036323765,0.0,0.0,0.0,-50364510.16289553
2011-06-01,-61904883.54472721,-191845585.4381279,77014927.51853076,-61904883.54472721,-61904883.54472721,1543984.9510462636,1543984.9510462636,1543984.9510462636,1543984.9510462636,1543984.9510462636,1543984.9510462636,0.0,0.0,0.0,-60360898.59368095
2011-07-01,-65209213.957488514,-197413340.117645,80337749.18930967,-65209213.957488514,-65209213.957488514,8804554.68656566,8804554.68656566,8804554.68656566,8804554.68656566,8804554.68656566,8804554.68656566,0.0,0.0,0.0,-56404659.270922855
2011-08-01,-68623688.7205263,-223275674.33454794,63713548.06741255,-68623688.7205263,-68623688.7205263,-17451810.990596347,-17451810.990596347,-17451810.990596347,-17451810.990596347,-17451810.990596347,-17451810.990596347,0.0,0.0,0.0,-86075499.71112263
2011-09-01,-72038163.48219384,-214090272.6127556,58116371.937261835,-72038163.48219384,-72038163.48219384,-2647001.5108558787,-2647001.5108558787,-2647001.5108558787,-2647001.5108558787,-2647001.5108558787,-2647001.5108558787,0.0,0.0,0.0,-74685164.99304973
2011-10-01,-75342493.90991908,-191460740.33016405,70968593.13671008,-75342493.90991908,-75342493.90991908,18145299.165975202,18145299.165975202,18145299.165975202,18145299.165975202,18145299.165975202,18145299.165975202,0.0,0.0,0.0,-57197194.743943885
2011-11-01,-78756317.59020522,-207184756.56426758,55646691.95086686,-78756317.59020522,-78756317.59020522,3547135.8149753273,3547135.8149753273,3547135.8149753273,3547135.8149753273,3547135.8149753273,3547135.8149753273,0.0,0.0,0.0,-75209181.7752299
2011-12-01,-82059784.05891779,-232644872.37751094,59309721.763233684,-82059784.05891779,-82059784.05891779,-3447477.2760917647,-3447477.2760917647,-3447477.2760917647,-3447477.2760917647,-3447477.2760917647,-3447477.2760917647,0.0,0.0,0.0,-85507261.33500956
2012-01-01,-75145506.09865384,-206640717.9476173,66867909.439780146,-75145506.09865384,-75145506.09865384,1389213.7138364108,1389213.7138364108,1389213.7138364108,1389213.7138364108,1389213.7138364108,1389213.7138364108,0.0,0.0,0.0,-73756292.38481742
2012-02-01,-68231228.13838989,-197111598.49221835,77033207.05016536,-68231228.13838989,-68231228.13838989,3091736.8286065655,3091736.8286065655,3091736.8286065655,3091736.8286065655,3091736.8286065655,3091736.8286065655,0.0,0.0,0.0,-65139491.30978332
2012-03-01,-61763032.62717523,-210650816.10701984,61014990.877872996,-61763032.62717523,-61763032.62717523,-15536134.576670168,-15536134.576670168,-15536134.576670168,-15536134.576670168,-15536134.576670168,-15536134.576670168,0.0,0.0,0.0,-77299167.2038454
