ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,High,High_lower,High_upper,Low,Low_lower,Low_upper,Open,Open_lower,Open_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,213.0253047096278,53.783029462916645,77.34289425375779,213.0253047096278,213.0253047096278,-109.51622603228765,-109.51622603228765,-109.51622603228765,-90.879778730844,-90.879778730844,-90.879778730844,58.23107009260229,58.23107009260229,58.23107009260229,-147.36452035074225,-147.36452035074225,-147.36452035074225,-142.16493467052933,-142.16493467052933,-142.16493467052933,-5.199585680212899,-5.199585680212899,-5.199585680212899,0.0,0.0,0.0,65.66078435888554
2001-02-01,213.06592287191143,59.68114660325817,83.4293153906925,213.06592287191143,213.06592287191143,-107.92852096929813,-107.92852096929813,-107.92852096929813,-89.149335669175,-89.149335669175,-89.149335669175,58.14796672769717,58.14796672769717,58.14796672769717,-141.2223188858141,-141.2223188858141,-141.2223188858141,-138.92988991077596,-138.92988991077596,-138.92988991077596,-2.292428975038131,-2.292428975038131,-2.292428975038131,0.0,0.0,0.0,71.84360398609732
2001-03-01,213.10261024429664,66.99779023989278,90.17024725305615,213.10261024429664,213.10261024429664,-104.38287447057864,-104.38287447057864,-104.38287447057864,-89.0492277535725,-89.0492277535725,-89.0492277535725,57.16733180490407,57.16733180490407,57.16733180490407,-134.8895324415481,-134.8895324415481,-134.8895324415481,-136.26477041924707,-136.26477041924707,-136.26477041924707,1.375237977698964,1.375237977698964,1.375237977698964,0.0,0.0,0.0,78.21307780274853
2001-04-01,213.14322840658028,68.13960725304459,90.34945742659208,213.14322840658028,213.14322840658028,-99.42039580279848,-99.42039580279848,-99.42039580279848,-90.50079798528128,-90.50079798528128,-90.50079798528128,58.35988125926226,58.35988125926226,58.35988125926226,-133.86454849894696,-133.86454849894696,-133.86454849894696,-131.5613125288175,-131.5613125288175,-131.5613125288175,-2.3032359701294607,-2.3032359701294607,-2.3032359701294607,0.0,0.0,0.0,79.27867990763332
2001-05-01,213.18253630556447,79.22919482139669,101.74184911322412,213.18253630556447,213.18253630556447,-94.87798622953464,-94.87798622953464,-94.87798622953464,-78.43773960045512,-78.43773960045512,-78.43773960045512,52.03561818216424,52.03561818216424,52.03561818216424,-122.44354964637401,-122.44354964637401,-122.44354964637401,-121.2801076478255,-121.2801076478255,-121.2801076478255,-1.1634419985485196,-1.1634419985485196,-1.1634419985485196,0.0,0.0,0.0,90.73898665919046
2001-06-01,213.22315445859263,80.79736973609398,103.19131685661054,213.22315445859263,213.22315445859263,-92.10127590142197,-92.10127590142197,-92.10127590142197,-79.1098974241911,-79.1098974241911,-79.1098974241911,50.66854975939122,50.66854975939122,50.66854975939122,-121.1382712314694,-121.1382712314694,-121.1382712314694,-120.54262356622183,-120.54262356622183,-120.54262356622183,-0.5956476652475778,-0.5956476652475778,-0.5956476652475778,0.0,0.0,0.0,92.08488322712323
2001-07-01,213.2624623486199,77.10736247621966,100.43592910488046,213.2624623486199,213.2624623486199,-97.36278349156545,-97.36278349156545,-97.36278349156545,-80.18248691033718,-80.18248691033718,-80.18248691033718,51.91511925410887,51.91511925410887,51.91511925410887,-124.2619518537129,-124.2619518537129,-124.2619518537129,-125.63015114779377,-125.63015114779377,-125.63015114779377,1.3681992940808494,1.3681992940808494,1.3681992940808494,0.0,0.0,0.0,89.00051049490699
2001-08-01,213.30308050164805,74.4087645819877,97.59902869786107,213.30308050164805,213.30308050164805,-98.13884095040514,-98.13884095040514,-98.13884095040514,-78.73091667862838,-78.73091667862838,-78.73091667862838,51.92342832252332,51.92342832252332,51.92342832252332,-127.50112126875952,-127.50112126875952,-127.50112126875952,-124.94632930651021,-124.94632930651021,-124.94632930651021,-2.554791962249311,-2.554791962249311,-2.554791962249311,0.0,0.0,0.0,85.80195923288854
2001-09-01,213.34369865467622,53.72294683336245,76.99271461054656,213.34369865467622,213.34369865467622,-99.0288118612136,-99.0288118612136,-99.0288118612136,-96.65030994809099,-96.65030994809099,-96.65030994809099,51.981601311994936,51.981601311994936,51.981601311994936,-148.2625809515352,-148.2625809515352,-148.2625809515352,-143.69752049730968,-143.69752049730968,-143.69752049730968,-4.565060454225527,-4.565060454225527,-4.565060454225527,0.0,0.0,0.0,65.08111770314102
2001-10-01,213.38300650457688,60.4757412543462,83.43527276714012,213.38300650457688,213.38300650457688,-110.0146130015112,-110.0146130015112,-110.0146130015112,-93.48974757156056,-93.48974757156056,-93.48974757156056,60.41672282766051,60.41672282766051,60.41672282766051,-141.70761005733425,-141.70761005733425,-141.70761005733425,-143.08763774541126,-143.08763774541126,-143.08763774541126,1.3800276880770228,1.3800276880770228,1.3800276880770228,0.0,0.0,0.0,71.67539644724263
2001-11-01,213.42362461614096,71.5260991573543,94.84632738128865,213.42362461614096,213.42362461614096,-104.48255077803307,-104.48255077803307,-104.48255077803307,-90.63666106594424,-90.63666106594424,-90.63666106594424,59.440244024169694,59.440244024169694,59.440244024169694,-130.26558357233694,-130.26558357233694,-130.26558357233694,-135.67896781980764,-135.67896781980764,-135.67896781980764,5.413384247470695,5.413384247470695,5.413384247470695,0.0,0.0,0.0,83.15804104380402
2001-12-01,213.46293246604165,71.43337009710656,94.62331306724458,213.46293246604165,213.46293246604165,-101.72720431461897,-101.72720431461897,-101.72720431461897,-84.25117810686906,-84.25117810686906,-84.25117810686906,55.089715980374635,55.089715980374635,55.089715980374635,-130.49328474908987,-130.49328474908987,-130.49328474908987,-130.8886664411134,-130.8886664411134,-130.8886664411134,0.3953816920235291,0.3953816920235291,0.3953816920235291,0.0,0.0,0.0,82.96964771695178
