ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-05-01,284.114421838214,224.24678938434494,366.441789985755,284.114421838214,284.114421838214,12.424717388711036,12.424717388711036,12.424717388711036,12.424717388711036,12.424717388711036,12.424717388711036,0.0,0.0,0.0,296.53913922692504
2009-06-01,282.66725928634554,224.2231126666282,362.56486264077733,282.66725928634554,282.66725928634554,11.540764279874466,11.540764279874466,11.540764279874466,11.540764279874466,11.540764279874466,11.540764279874466,0.0,0.0,0.0,294.20802356622
2009-07-01,281.2667793974404,217.34388612812998,364.1901195142092,281.2667793974404,281.2667793974404,8.072742867572165,8.072742867572165,8.072742867572165,8.072742867572165,8.072742867572165,8.072742867572165,0.0,0.0,0.0,289.3395222650126
2009-08-01,279.8196168455719,203.43949242747925,345.4823219051779,279.8196168455719,279.8196168455719,-2.65804590993127,-2.65804590993127,-2.65804590993127,-2.65804590993127,-2.65804590993127,-2.65804590993127,0.0,0.0,0.0,277.1615709356406
2009-09-01,278.3724542761048,198.6672115615875,336.66028714261074,278.3724542761048,278.3724542761048,-13.357016014282026,-13.357016014282026,-13.357016014282026,-13.357016014282026,-13.357016014282026,-13.357016014282026,0.0,0.0,0.0,265.0154382618228
2009-10-01,276.9719743701691,188.34511248464844,333.9339940753337,276.9719743701691,276.9719743701691,-18.37483872554407,-18.37483872554407,-18.37483872554407,-18.37483872554407,-18.37483872554407,-18.37483872554407,0.0,0.0,0.0,258.59713564462504
2009-11-01,275.5248118007021,195.67212977706842,332.4115086523352,275.5248118007021,275.5248118007021,-7.797629191911596,-7.797629191911596,-7.797629191911596,-7.797629191911596,-7.797629191911596,-7.797629191911596,0.0,0.0,0.0,267.7271826087905
2009-12-01,274.12433189476627,201.43963802037786,348.2320217021207,274.12433189476627,274.12433189476627,-1.088138944035796,-1.088138944035796,-1.088138944035796,-1.088138944035796,-1.088138944035796,-1.088138944035796,0.0,0.0,0.0,273.0361929507305
2010-01-01,272.6771693252993,203.9391363138005,347.3365435551936,272.6771693252993,272.6771693252993,3.4684392095205077,3.4684392095205077,3.4684392095205077,3.4684392095205077,3.4684392095205077,3.4684392095205077,0.0,0.0,0.0,276.1456085348198
2010-02-01,271.23000676501056,203.87950647746516,348.74628820538004,271.23000676501056,271.23000676501056,5.674418508665464,5.674418508665464,5.674418508665464,5.674418508665464,5.674418508665464,5.674418508665464,0.0,0.0,0.0,276.904425273676
