Open,High,Low,Adj Close,Volume,Date,Close
71.5,73.83000183,67.61000061,71.69999695,546800,2003/1/1,57.91999817
71.69999695,76.05999756,70.02999878,74.16000366,397900,2003/2/1,54.18000031
74.05999756,81.04000092,70.16999817,71.16999817,430400,2003/3/1,47.02999878
71.19000244,88.01000214,68.13999939,86.41000366,719000,2003/4/1,54.77000046
86.41000366,94.38999939,85.01000214,89.69999695,555500,2003/5/1,63.25
89.69999695,98.29000092,84.06999969,86.72000122,857400,2003/6/1,64.25
86.69999695,90.90000153,82.56999969,86.68000031,492700,2003/7/1,64.83000183
86.68000031,89.80999756,84.59999847,86.47000122,374900,2003/8/1,69.18000031
86.54000092,88.55999756,59.54000092,66.19999695,500000,2003/9/1,63.06999969
66.23999786,73.12999725,63.95999908,68.5,638300,2003/10/1,76.31999969
68.58999634,80.90000153,67.94999695,79.13999939,422800,2003/11/1,79.23000336
79.05999756,84.76999664,76.87999725,83.40000153,484900,2003/12/1,96.29000092
83.40000153,91.27999878,79.83999634,91.16000366,422500,2004/1/1,92.33000183
90.98999786,91.37000275,82.95999908,86.98000336,444700,2004/2/1,102.3600006
86.98000336,95.87999725,85.98000336,94.43000031,612000,2004/3/1,103.3000031
94.43000031,97.26999664,86.80000305,88.36000061,603500,2004/4/1,90.19000244
88.34999847,99.16000366,86.58000183,98.08999634,598700,2004/5/1,98.15000153
98.08999634,100.6200027,91.31999969,96.25,600400,2004/6/1,114.9499969
96.30999756,96.38999939,71.97000122,79.45999908,657700,2004/7/1,126.1800003
79.44999695,80.05999756,68.23999786,71.84999847,749100,2004/8/1,120.8399963
71.73000336,74.05000305,57.95000076,59.04000092,630500,2004/9/1,133.6000061
59.06000137,64.15000153,56.34000015,62.45999908,740300,2004/10/1,128.7200012
62.43999863,70.11000061,60.08000183,69.58000183,469300,2004/11/1,161.8200073
69.77999878,71.02999878,59.36999893,60.43999863,524700,2004/12/1,160.0399933
60.47000122,66.73999786,57.00999832,57.91999817,760800,2005/1/1,167.1399994
58.00999832,58.24000168,50.88999939,54.18000031,963600,2005/2/1,188.5
54.22999954,55.15999985,46.74000168,47.02999878,831400,2005/3/1,165.8500061
47.04000092,55.43999863,46.58000183,54.77000046,920900,2005/4/1,141.9700012
54.75999832,63.52000046,53.74000168,63.25,701000,2005/5/1,142.2100067
63.24000168,68.68000031,63.24000168,64.25,742700,2005/6/1,129.6499939
64.25,65.68000031,61.54999924,64.83000183,764700,2005/7/1,158.6999969
64.83000183,69.80000305,61.95000076,69.18000031,580600,2005/8/1,157.5299988
69.18000031,69.58000183,62.18999863,63.06999969,885400,2005/9/1,169.9799957
