Date,Price,Open,High,Low,Vol.,Change %
31-Dec-19,102.06,101.77,102.3,101.77,50.84M,0.30%
30-Dec-19,102.08,101.52,101.77,101.29,24.31M,0.27%
27-Dec-19,101.77,101.36,101.59,101.22,25.58M,0.13%
26-Dec-19,101.5,101.5,101.72,101.32,28.14M,-0.23%
25-Dec-19,101.37,101.76,101.77,101.19,41.66M,-0.06%
24-Dec-19,101.6,100.71,101.66,100.66,50.23M,0.97%
23-Dec-19,101.66,101.01,101.28,100.47,56.00M,-0.34%
20-Dec-19,100.68,101.32,101.51,100.89,28.19M,-0.59%
19-Dec-19,101.02,100.9,101.62,100.69,44.77M,0.59%
18-Dec-19,101.62,100.14,101.02,100.07,39.53M,0.85%
17-Dec-19,101.02,100.36,100.75,100.17,42.14M,-0.19%
16-Dec-19,100.17,99.43,100.38,99.43,44.45M,0.94%
13-Dec-19,100.36,99.44,99.84,99.37,31.98M,-0.01%
12-Dec-19,99.43,99.36,99.5,99.06,23.02M,0.06%
11-Dec-19,99.44,99.5,99.5,99.03,24.68M,-0.12%
10-Dec-19,99.38,99.58,99.66,99.24,20.01M,-0.07%
9-Dec-19,99.5,99.62,99.75,99.25,25.76M,-0.05%
6-Dec-19,99.57,100.05,100.05,99.42,18.51M,-0.42%
5-Dec-19,99.62,99.9,100.04,99.37,24.47M,0.14%
4-Dec-19,100.04,99.1,99.9,99.02,28.61M,0.81%
3-Dec-19,99.9,99.34,99.56,98.76,23.06M,-0.24%
2-Dec-19,99.1,100.13,100.15,99.31,20.89M,-1.05%
29-Nov-19,99.34,100.38,100.41,99.88,21.44M,0.01%
28-Nov-19,100.39,100.24,100.5,100.06,22.67M,0.14%
27-Nov-19,100.38,99.57,100.41,99.57,68.56M,0.66%
26-Nov-19,100.24,99.36,99.69,99.16,26.11M,0.22%
25-Nov-19,99.58,99.22,99.36,98.83,15.53M,0.14%
22-Nov-19,99.36,99.69,99.69,98.75,24.02M,-0.47%
21-Nov-19,99.22,99.52,99.69,99.01,22.28M,0.16%
20-Nov-19,99.69,99.26,99.53,98.7,16.99M,0.26%
19-Nov-19,99.53,98.52,99.27,98.52,19.23M,0.76%
18-Nov-19,99.27,98.56,99.38,98.52,26.58M,-0.04%
15-Nov-19,98.52,99.26,99.26,98.46,29.58M,-0.84%
14-Nov-19,98.56,101.02,101.02,99.39,29.54M,-1.61%
13-Nov-19,99.39,101.07,101.12,100.62,19.93M,-0.05%
12-Nov-19,101.02,101.54,101.54,100.52,25.24M,-0.46%
11-Nov-19,101.07,101.31,101.78,101.24,23.27M,0.25%
8-Nov-19,101.54,101.02,101.37,100.83,21.56M,0.27%
7-Nov-19,101.29,101.61,101.65,100.88,36.86M,-0.53%
6-Nov-19,101.02,100.18,101.74,100.17,65.02M,1.12%
5-Nov-19,101.56,100.18,100.44,100.03,28.83M,0.14%
